"Type","Term","Rate"
"Cash","ON","0.001410"
"Cash","T/N","0.001410"
"Cash","1W","0.001910"
"Cash","2W","0.002090"
"Cash","1M","0.002490"
"Cash","2M","0.003450"
"Cash","3M","0.004570"
"Cash","4M","0.005230"
"Cash","5M","0.005860"
"Cash","6M","0.006540"
"Cash","7M","0.007080"
"Cash","8M","0.007540"
"Cash","9M","0.008080"
"Cash","10M","0.008570"
"Cash","11M","0.009130"
"Swap","1Y","0.0058"
"Swap","18M","0.00589918"
"Swap","2Y","0.0060"
"Swap","3Y","0.0072"
"Swap","4Y","0.0096"
"Swap","5Y","0.0124"
"Swap","7Y","0.0173"
"Swap","10Y","0.0219"
"Swap","30Y","0.0283"
